Poll_ID,Parliament_ID,Parliament_Name,Pollster_ID,Pollster_Name,Date,n,Party_Name,Pct
BT09230126Q,BT,Bundestag,9,Allensbach,2023-01-26,1023,CDUCSU,31
BT09221221P,BT,Bundestag,9,Allensbach,2022-12-21,1035,CDUCSU,30
BT09221124O,BT,Bundestag,9,Allensbach,2022-11-24,1042,CDUCSU,29.5
BT09221020N,BT,Bundestag,9,Allensbach,2022-10-20,1021,CDUCSU,30.5
BT09220916M,BT,Bundestag,9,Allensbach,2022-09-16,1030,CDUCSU,30
BT09220824L,BT,Bundestag,9,Allensbach,2022-08-24,1038,CDUCSU,29
BT09220727K,BT,Bundestag,9,Allensbach,2022-07-27,1006,CDUCSU,27.5
BT09220622J,BT,Bundestag,9,Allensbach,2022-06-22,1046,CDUCSU,27
BT09220527I,BT,Bundestag,9,Allensbach,2022-05-27,1118,CDUCSU,29
BT09220413H,BT,Bundestag,9,Allensbach,2022-04-13,1075,CDUCSU,24
BT09220324G,BT,Bundestag,9,Allensbach,2022-03-24,1041,CDUCSU,25
BT09220224F,BT,Bundestag,9,Allensbach,2022-02-24,1033,CDUCSU,27
BT09220126E,BT,Bundestag,9,Allensbach,2022-01-26,1090,CDUCSU,23
BT09211222D,BT,Bundestag,9,Allensbach,2021-12-22,1069,CDUCSU,24
BT09211118C,BT,Bundestag,9,Allensbach,2021-11-18,1016,CDUCSU,23
BT09211020B,BT,Bundestag,9,Allensbach,2021-10-20,1045,CDUCSU,21
BT09210924Y,BT,Bundestag,9,Allensbach,2021-09-24,1554,CDUCSU,25
BT09210908X,BT,Bundestag,9,Allensbach,2021-09-08,1258,CDUCSU,25
BT09210828W,BT,Bundestag,9,Allensbach,2021-08-28,1038,CDUCSU,26
BT09210819V,BT,Bundestag,9,Allensbach,2021-08-19,1018,CDUCSU,27.5
BT09210728U,BT,Bundestag,9,Allensbach,2021-07-28,1243,CDUCSU,30
BT09210720T,BT,Bundestag,9,Allensbach,2021-07-20,1028,CDUCSU,31.5
BT09210616S,BT,Bundestag,9,Allensbach,2021-06-16,1070,CDUCSU,29.5
BT09210519R,BT,Bundestag,9,Allensbach,2021-05-19,1027,CDUCSU,27.5
BT09210421Q,BT,Bundestag,9,Allensbach,2021-04-21,1051,CDUCSU,28
BT09210324P,BT,Bundestag,9,Allensbach,2021-03-24,1006,CDUCSU,28.5
BT09210225O,BT,Bundestag,9,Allensbach,2021-02-25,1082,CDUCSU,37
BT09210128N,BT,Bundestag,9,Allensbach,2021-01-28,1080,CDUCSU,37
BT09201216M,BT,Bundestag,9,Allensbach,2020-12-16,1022,CDUCSU,37
BT09201118L,BT,Bundestag,9,Allensbach,2020-11-18,1286,CDUCSU,37
BT09201023K,BT,Bundestag,9,Allensbach,2020-10-23,1045,CDUCSU,35.5
BT09200922J,BT,Bundestag,9,Allensbach,2020-09-22,1043,CDUCSU,37
BT09200827I,BT,Bundestag,9,Allensbach,2020-08-27,1231,CDUCSU,38
BT09200722H,BT,Bundestag,9,Allensbach,2020-07-22,1237,CDUCSU,38
BT09200618G,BT,Bundestag,9,Allensbach,2020-06-18,1314,CDUCSU,40
BT09200522F,BT,Bundestag,9,Allensbach,2020-05-22,1013,CDUCSU,38
BT09200424E,BT,Bundestag,9,Allensbach,2020-04-24,1152,CDUCSU,38
BT09200325D,BT,Bundestag,9,Allensbach,2020-03-25,1219,CDUCSU,29
BT09200219C,BT,Bundestag,9,Allensbach,2020-02-19,1262,CDUCSU,27.5
BT09200129B,BT,Bundestag,9,Allensbach,2020-01-29,1273,CDUCSU,28.5
BT09191219A,BT,Bundestag,9,Allensbach,2019-12-19,1270,CDUCSU,28.5
BT09191119Y,BT,Bundestag,9,Allensbach,2019-11-19,1298,CDUCSU,29.5
BT09191016X,BT,Bundestag,9,Allensbach,2019-10-16,1238,CDUCSU,29.5
BT09190917W,BT,Bundestag,9,Allensbach,2019-09-17,1255,CDUCSU,29
BT09190821V,BT,Bundestag,9,Allensbach,2019-08-21,1262,CDUCSU,29.5
BT09190724U,BT,Bundestag,9,Allensbach,2019-07-24,1228,CDUCSU,29.5
BT09190621T,BT,Bundestag,9,Allensbach,2019-06-21,1273,CDUCSU,29
BT09190523S,BT,Bundestag,9,Allensbach,2019-05-23,1283,CDUCSU,30
BT09190418R,BT,Bundestag,9,Allensbach,2019-04-18,1305,CDUCSU,30
BT09190327Q,BT,Bundestag,9,Allensbach,2019-03-27,1198,CDUCSU,30
BT09190219P,BT,Bundestag,9,Allensbach,2019-02-19,1222,CDUCSU,30
BT09190123O,BT,Bundestag,9,Allensbach,2019-01-23,1249,CDUCSU,31.5
BT09181220N,BT,Bundestag,9,Allensbach,2018-12-20,1295,CDUCSU,29
BT09181130M,BT,Bundestag,9,Allensbach,2018-11-30,1242,CDUCSU,28
BT09181018L,BT,Bundestag,9,Allensbach,2018-10-18,1259,CDUCSU,29
BT09180918K,BT,Bundestag,9,Allensbach,2018-09-18,1258,CDUCSU,31.5
BT09180815J,BT,Bundestag,9,Allensbach,2018-08-15,1295,CDUCSU,31
BT09180717I,BT,Bundestag,9,Allensbach,2018-07-17,1295,CDUCSU,30.5
BT09180620H,BT,Bundestag,9,Allensbach,2018-06-20,1279,CDUCSU,33
BT09180517G,BT,Bundestag,9,Allensbach,2018-05-17,1253,CDUCSU,34
BT09180425F,BT,Bundestag,9,Allensbach,2018-04-25,1279,CDUCSU,34
BT09180321E,BT,Bundestag,9,Allensbach,2018-03-21,1256,CDUCSU,34
BT09180223D,BT,Bundestag,9,Allensbach,2018-02-23,1271,CDUCSU,32
BT09180125C,BT,Bundestag,9,Allensbach,2018-01-25,1221,CDUCSU,34
BT09171221B,BT,Bundestag,9,Allensbach,2017-12-21,1443,CDUCSU,34
BT09171130K,BT,Bundestag,9,Allensbach,2017-11-30,1299,CDUCSU,33
BT09171025J,BT,Bundestag,9,Allensbach,2017-10-25,1454,CDUCSU,33
BT09230126Q,BT,Bundestag,9,Allensbach,2023-01-26,1023,SPD,21
BT09221221P,BT,Bundestag,9,Allensbach,2022-12-21,1035,SPD,22
BT09221124O,BT,Bundestag,9,Allensbach,2022-11-24,1042,SPD,20
BT09221020N,BT,Bundestag,9,Allensbach,2022-10-20,1021,SPD,19
BT09220916M,BT,Bundestag,9,Allensbach,2022-09-16,1030,SPD,20
BT09220824L,BT,Bundestag,9,Allensbach,2022-08-24,1038,SPD,19.5
BT09220727K,BT,Bundestag,9,Allensbach,2022-07-27,1006,SPD,22
BT09220622J,BT,Bundestag,9,Allensbach,2022-06-22,1046,SPD,23
BT09220527I,BT,Bundestag,9,Allensbach,2022-05-27,1118,SPD,24
BT09220413H,BT,Bundestag,9,Allensbach,2022-04-13,1075,SPD,28
BT09220324G,BT,Bundestag,9,Allensbach,2022-03-24,1041,SPD,25
BT09220224F,BT,Bundestag,9,Allensbach,2022-02-24,1033,SPD,25
BT09220126E,BT,Bundestag,9,Allensbach,2022-01-26,1090,SPD,27.5
BT09211222D,BT,Bundestag,9,Allensbach,2021-12-22,1069,SPD,26
BT09211118C,BT,Bundestag,9,Allensbach,2021-11-18,1016,SPD,27
BT09211020B,BT,Bundestag,9,Allensbach,2021-10-20,1045,SPD,28
BT09210924Y,BT,Bundestag,9,Allensbach,2021-09-24,1554,SPD,26
BT09210908X,BT,Bundestag,9,Allensbach,2021-09-08,1258,SPD,27
BT09210828W,BT,Bundestag,9,Allensbach,2021-08-28,1038,SPD,24
BT09210819V,BT,Bundestag,9,Allensbach,2021-08-19,1018,SPD,19.5
BT09210728U,BT,Bundestag,9,Allensbach,2021-07-28,1243,SPD,16
BT09210720T,BT,Bundestag,9,Allensbach,2021-07-20,1028,SPD,16.5
BT09210616S,BT,Bundestag,9,Allensbach,2021-06-16,1070,SPD,17
BT09210519R,BT,Bundestag,9,Allensbach,2021-05-19,1027,SPD,16
BT09210421Q,BT,Bundestag,9,Allensbach,2021-04-21,1051,SPD,16.5
BT09210324P,BT,Bundestag,9,Allensbach,2021-03-24,1006,SPD,18
BT09210225O,BT,Bundestag,9,Allensbach,2021-02-25,1082,SPD,15
BT09210128N,BT,Bundestag,9,Allensbach,2021-01-28,1080,SPD,16
BT09201216M,BT,Bundestag,9,Allensbach,2020-12-16,1022,SPD,16.5
BT09201118L,BT,Bundestag,9,Allensbach,2020-11-18,1286,SPD,17
BT09201023K,BT,Bundestag,9,Allensbach,2020-10-23,1045,SPD,17
BT09200922J,BT,Bundestag,9,Allensbach,2020-09-22,1043,SPD,17
BT09200827I,BT,Bundestag,9,Allensbach,2020-08-27,1231,SPD,17
BT09200722H,BT,Bundestag,9,Allensbach,2020-07-22,1237,SPD,15.5
BT09200618G,BT,Bundestag,9,Allensbach,2020-06-18,1314,SPD,16
BT09200522F,BT,Bundestag,9,Allensbach,2020-05-22,1013,SPD,15.5
BT09200424E,BT,Bundestag,9,Allensbach,2020-04-24,1152,SPD,16
BT09200325D,BT,Bundestag,9,Allensbach,2020-03-25,1219,SPD,16.5
BT09200219C,BT,Bundestag,9,Allensbach,2020-02-19,1262,SPD,14.5
BT09200129B,BT,Bundestag,9,Allensbach,2020-01-29,1273,SPD,14
BT09191219A,BT,Bundestag,9,Allensbach,2019-12-19,1270,SPD,15
BT09191119Y,BT,Bundestag,9,Allensbach,2019-11-19,1298,SPD,14
BT09191016X,BT,Bundestag,9,Allensbach,2019-10-16,1238,SPD,16
BT09190917W,BT,Bundestag,9,Allensbach,2019-09-17,1255,SPD,15
BT09190821V,BT,Bundestag,9,Allensbach,2019-08-21,1262,SPD,13.5
BT09190724U,BT,Bundestag,9,Allensbach,2019-07-24,1228,SPD,14.5
BT09190621T,BT,Bundestag,9,Allensbach,2019-06-21,1273,SPD,12
BT09190523S,BT,Bundestag,9,Allensbach,2019-05-23,1283,SPD,17.5
BT09190418R,BT,Bundestag,9,Allensbach,2019-04-18,1305,SPD,18.5
BT09190327Q,BT,Bundestag,9,Allensbach,2019-03-27,1198,SPD,18
BT09190219P,BT,Bundestag,9,Allensbach,2019-02-19,1222,SPD,18
BT09190123O,BT,Bundestag,9,Allensbach,2019-01-23,1249,SPD,16.5
BT09181220N,BT,Bundestag,9,Allensbach,2018-12-20,1295,SPD,16.5
BT09181130M,BT,Bundestag,9,Allensbach,2018-11-30,1242,SPD,17
BT09181018L,BT,Bundestag,9,Allensbach,2018-10-18,1259,SPD,19
BT09180918K,BT,Bundestag,9,Allensbach,2018-09-18,1258,SPD,19.5
BT09180815J,BT,Bundestag,9,Allensbach,2018-08-15,1295,SPD,20
BT09180717I,BT,Bundestag,9,Allensbach,2018-07-17,1295,SPD,20
BT09180620H,BT,Bundestag,9,Allensbach,2018-06-20,1279,SPD,21
BT09180517G,BT,Bundestag,9,Allensbach,2018-05-17,1253,SPD,20
BT09180425F,BT,Bundestag,9,Allensbach,2018-04-25,1279,SPD,20.5
BT09180321E,BT,Bundestag,9,Allensbach,2018-03-21,1256,SPD,19
BT09180223D,BT,Bundestag,9,Allensbach,2018-02-23,1271,SPD,17.5
BT09180125C,BT,Bundestag,9,Allensbach,2018-01-25,1221,SPD,21
BT09171221B,BT,Bundestag,9,Allensbach,2017-12-21,1443,SPD,21
BT09171130K,BT,Bundestag,9,Allensbach,2017-11-30,1299,SPD,21.5
BT09171025J,BT,Bundestag,9,Allensbach,2017-10-25,1454,SPD,20.5
BT09230126Q,BT,Bundestag,9,Allensbach,2023-01-26,1023,Gruene,17
BT09221221P,BT,Bundestag,9,Allensbach,2022-12-21,1035,Gruene,18
BT09221124O,BT,Bundestag,9,Allensbach,2022-11-24,1042,Gruene,20
BT09221020N,BT,Bundestag,9,Allensbach,2022-10-20,1021,Gruene,19
BT09220916M,BT,Bundestag,9,Allensbach,2022-09-16,1030,Gruene,19
BT09220824L,BT,Bundestag,9,Allensbach,2022-08-24,1038,Gruene,21
BT09220727K,BT,Bundestag,9,Allensbach,2022-07-27,1006,Gruene,22
BT09220622J,BT,Bundestag,9,Allensbach,2022-06-22,1046,Gruene,22
BT09220527I,BT,Bundestag,9,Allensbach,2022-05-27,1118,Gruene,20.5
BT09220413H,BT,Bundestag,9,Allensbach,2022-04-13,1075,Gruene,17
BT09220324G,BT,Bundestag,9,Allensbach,2022-03-24,1041,Gruene,17
BT09220224F,BT,Bundestag,9,Allensbach,2022-02-24,1033,Gruene,15
BT09220126E,BT,Bundestag,9,Allensbach,2022-01-26,1090,Gruene,14.5
BT09211222D,BT,Bundestag,9,Allensbach,2021-12-22,1069,Gruene,15
BT09211118C,BT,Bundestag,9,Allensbach,2021-11-18,1016,Gruene,15
