Poll_ID,Pollster,Date,Parliament_ID,CDUCSU,SPD,Gruene,FDP,Linke,AfD,BSW
BE02170102U,Forsa,2017-01-02,BE,20,20,16,7,17,12,NA
BT02170104D,Forsa,2017-01-04,BT,37,21,10,6,9,12,NA
BT01170105M,Infratest dimap,2017-01-05,BT,37,20,9,5,9,15,NA
BT03170107U,Emnid,2017-01-07,BT,38,22,10,5,9,12,NA
BY01170111U,Infratest dimap,2017-01-11,BY,45,14,13,4,3,10,NA
NI02170111N,Forsa,2017-01-11,NI,34,32,12,6,4,7,NA
BT02170111E,Forsa,2017-01-11,BT,37,20,10,6,9,12,NA
HE01170112Y,Infratest dimap,2017-01-12,HE,32,24,14,6,8,14,NA
SL05170113Y,INSA,2017-01-13,SL,35,24,6,5,16,10,NA
BT03170114V,Emnid,2017-01-14,BT,37,21,10,6,10,12,NA
BB02170118I,Forsa,2017-01-18,BB,21,30,7,4,15,18,NA
BT02170118F,Forsa,2017-01-18,BT,38,21,9,6,9,11,NA
MV02170119U,Forsa,2017-01-19,MV,21,32,4,4,13,18,NA
HB01170119B,Infratest dimap,2017-01-19,HB,24,29,13,8,11,11,NA
NI01170120O,Infratest dimap,2017-01-20,NI,35,31,14,6,4,8,NA
NW03170121U,Emnid,2017-01-21,NW,30,32,10,8,7,10,NA
BT03170121W,Emnid,2017-01-21,BT,36,21,9,6,11,12,NA
BT02170125G,Forsa,2017-01-25,BT,37,21,10,6,9,12,NA
SL01170126A,Infratest dimap,2017-01-26,SL,38,26,5,4,14,9,NA
NW13170127W,YouGov,2017-01-27,NW,31,31,11,7,5,12,NA
BT01170127N,Infratest dimap,2017-01-27,BT,35,23,9,6,8,14,NA
BT03170128X,Emnid,2017-01-28,BT,37,23,10,6,10,11,NA
BE02170130V,Forsa,2017-01-30,BE,20,20,15,8,16,12,NA
BT02170201H,Forsa,2017-02-01,BT,35,26,8,6,9,11,NA
BT01170202O,Infratest dimap,2017-02-02,BT,34,28,8,6,8,12,NA
BT03170204Y,Emnid,2017-02-04,BT,33,29,8,6,8,11,NA
BT02170208I,Forsa,2017-02-08,BT,34,31,8,5,8,10,NA
NW06170210X,Forschungsgruppe Wahlen,2017-02-10,NW,32,36,7,8,5,9,NA
BT03170211A,Emnid,2017-02-11,BT,33,32,7,6,8,10,NA
BT02170215J,Forsa,2017-02-15,BT,34,31,7,5,8,9,NA
BT03170218B,Emnid,2017-02-18,BT,32,33,7,6,8,9,NA
NW01170219Y,Infratest dimap,2017-02-19,NW,30,37,7,7,6,10,NA
BT02170222K,Forsa,2017-02-22,BT,34,31,7,6,8,8,NA
BT01170223P,Infratest dimap,2017-02-23,BT,31,32,8,6,7,11,NA
BT03170225C,Emnid,2017-02-25,BT,32,32,7,7,8,9,NA
BE02170227W,Forsa,2017-02-27,BE,17,25,13,8,16,10,NA
BT02170301L,Forsa,2017-03-01,BT,33,31,8,7,7,9,NA
BT03170304D,Emnid,2017-03-04,BT,33,32,7,6,8,10,NA
NW05170305A,INSA,2017-03-05,NW,27,38,7,10,4,11,NA
SL05170307B,INSA,2017-03-07,SL,36,33,4,4,12,7,NA
BT02170308M,Forsa,2017-03-08,BT,33,32,8,6,7,8,NA
BW01170309H,Infratest dimap,2017-03-09,BW,28,20,27,7,4,11,NA
RP01170309T,Infratest dimap,2017-03-09,RP,35,40,6,6,3,7,NA
SL02170309C,Forsa,2017-03-09,SL,34,33,5,4,13,6,NA
BT01170309Q,Infratest dimap,2017-03-09,BT,32,31,8,6,8,11,NA
BT03170311E,Emnid,2017-03-11,BT,33,33,7,6,8,8,NA
NW02170315B,Forsa,2017-03-15,NW,26,40,6,11,5,7,NA
NW02170315V,Forsa,2017-03-15,NW,29,35,8,9,6,8,NA
BT02170315N,Forsa,2017-03-15,BT,33,32,7,6,7,9,NA
SL01170316D,Infratest dimap,2017-03-16,SL,35,34,4.5,3,13,6.5,NA
SH01170316G,Infratest dimap,2017-03-16,SH,27,33,14,9,4,7,NA
SL06170317E,Forschungsgruppe Wahlen,2017-03-17,SL,37,32,4,4,12,7,NA
BT03170318F,Emnid,2017-03-18,BT,33,32,8,5,8,9,NA
NW01170319C,Infratest dimap,2017-03-19,NW,30,37,6,9,5,9,NA
SL05170322F,INSA,2017-03-22,SL,35,33,4,5,13,6,NA
BT02170322O,Forsa,2017-03-22,BT,34,31,7,6,7,9,NA
SL06170323G,Forschungsgruppe Wahlen,2017-03-23,SL,37,32,4.5,4,12.5,6,NA
BT01170323R,Infratest dimap,2017-03-23,BT,32,32,8,6,7,11,NA
BT03170325G,Emnid,2017-03-25,BT,33,33,8,5,8,9,NA
BT02170329P,Forsa,2017-03-29,BT,34,32,7,6,8,7,NA
BT03170401H,Emnid,2017-04-01,BT,33,33,7,6,8,8,NA
BE02170403X,Forsa,2017-04-03,BE,20,25,13,7,16,8,NA
BT02170404Q,Forsa,2017-04-04,BT,36,29,7,5,9,8,NA
SH01170406I,Infratest dimap,2017-04-06,SH,30,33,12,9,4,7,NA
BT03170408I,Emnid,2017-04-08,BT,35,33,7,5,8,9,NA
NW05170411D,INSA,2017-04-11,NW,28,37,6,10,5,10,NA
BT02170411R,Forsa,2017-04-11,BT,36,30,7,6,8,8,NA
BT01170413S,Infratest dimap,2017-04-13,BT,34,31,8,6,7,11,NA
TH05170414V,INSA,2017-04-14,TH,33,15,5,4,22,19,NA
BT03170415J,Emnid,2017-04-15,BT,35,31,7,6,9,9,NA
BT02170419S,Forsa,2017-04-19,BT,36,30,6,6,9,8,NA
SH01170420J,Infratest dimap,2017-04-20,SH,31,33,12,9,4,5,NA
BT01170420T,Infratest dimap,2017-04-20,BT,35,30,7,6,8,10,NA
BT03170422K,Emnid,2017-04-22,BT,36,31,6,5,9,9,NA
NW01170423E,Infratest dimap,2017-04-23,NW,34,34,6,10,5,8,NA
NW13170425F,YouGov,2017-04-25,NW,27,36,6,7,8,11,NA
BT02170426T,Forsa,2017-04-26,BT,36,30,7,6,8,9,NA
SH01170427L,Infratest dimap,2017-04-27,SH,32,31,12,8.5,4.5,6,NA
SH06170427K,Forschungsgruppe Wahlen,2017-04-27,SH,32,30,12,9,5,6,NA
NW02170428G,Forsa,2017-04-28,NW,29,35,6,12,6,7,NA
SH05170429M,INSA,2017-04-29,SH,33,29,12,10,5,5,NA
BT03170429L,Emnid,2017-04-29,BT,36,29,7,6,9,9,NA
BE02170503Y,Forsa,2017-05-03,BE,20,24,12,8,16,9,NA
BT02170503U,Forsa,2017-05-03,BT,36,28,8,7,8,8,NA
NW01170504H,Infratest dimap,2017-05-04,NW,31,32,7,13,5,8,NA
SH06170504N,Forschungsgruppe Wahlen,2017-05-04,SH,32,29,12,11,4.5,6,NA
NW06170505I,Forschungsgruppe Wahlen,2017-05-05,NW,32,32,7.5,12,6,6,NA
BT13170505B,YouGov,2017-05-05,BT,35,28,7,7,9,9,NA
NI02170506P,Forsa,2017-05-06,NI,35,36,8,6,4,6,NA
BT03170506M,Emnid,2017-05-06,BT,36,28,7,6,9,9,NA
NW05170509J,INSA,2017-05-09,NW,30,33,7,13,5,7,NA
BT02170510V,Forsa,2017-05-10,BT,36,29,7,7,8,7,NA
NW06170511L,Forschungsgruppe Wahlen,2017-05-11,NW,32,31,6.5,13.5,6,6.5,NA
NW13170511K,YouGov,2017-05-11,NW,31,30,7,9,8,9,NA
BT01170511U,Infratest dimap,2017-05-11,BT,37,27,8,8,7,10,NA
BT13170512D,YouGov,2017-05-12,BT,37,25,7,9,8,9,NA
BT03170513N,Emnid,2017-05-13,BT,37,27,8,6,10,8,NA
BT02170517W,Forsa,2017-05-17,BT,38,26,7,8,8,7,NA
BT01170518V,Infratest dimap,2017-05-18,BT,38,26,8,9,6,9,NA
BT13170519E,YouGov,2017-05-19,BT,38,25,7,9,9,9,NA
BT03170520O,Emnid,2017-05-20,BT,38,26,7,7,9,8,NA
BE01170523A,Infratest dimap,2017-05-23,BE,24,22,13,8,17,10,NA
BT02170523X,Forsa,2017-05-23,BT,39,25,7,9,8,7,NA
NI05170527Q,INSA,2017-05-27,NI,41,27,8,9,5,6,NA
BT03170527P,Emnid,2017-05-27,BT,38,25,8,8,8,8,NA
BE02170530B,Forsa,2017-05-30,BE,23,22,13,8,16,8,NA
BT02170531Y,Forsa,2017-05-31,BT,38,25,7,9,8,7,NA
BT13170602F,YouGov,2017-06-02,BT,37,23,8,9,10,9,NA
BT03170603Q,Emnid,2017-06-03,BT,38,27,7,7,8,8,NA
BT02170607A,Forsa,2017-06-07,BT,39,24,8,8,8,7,NA
BT01170608W,Infratest dimap,2017-06-08,BT,38,24,7,10,8,9,NA
BT03170610R,Emnid,2017-06-10,BT,39,25,8,7,9,8,NA
BT02170613B,Forsa,2017-06-13,BT,38,24,8,9,8,7,NA
BT01170615X,Infratest dimap,2017-06-15,BT,39,24,7,9,8,8,NA
BT03170617S,Emnid,2017-06-17,BT,39,25,7,7,9,8,NA
BB01170621J,Infratest dimap,2017-06-21,BB,25,28,6,3,18,15,NA
BT02170621C,Forsa,2017-06-21,BT,39,23,8,8,10,7,NA
RP01170622U,Infratest dimap,2017-06-22,RP,37,32,7,7,5,8,NA
SN01170622U,Infratest dimap,2017-06-22,SN,41,10,4,5,15,21,NA
ST01170622T,Infratest dimap,2017-06-22,ST,40,13,6,5,20,13,NA
TH01170622W,Infratest dimap,2017-06-22,TH,37,10,5,4,27,13,NA
BT13170623B,YouGov,2017-06-23,BT,36,25,8,9,10,7,NA
BT03170624T,Emnid,2017-06-24,BT,39,24,8,7,9,8,NA
BT02170628D,Forsa,2017-06-28,BT,40,23,9,7,9,7,NA
BT02170629E,Forsa,2017-06-29,BT,40,23,9,8,9,7,NA
BT13170629C,YouGov,2017-06-29,BT,38,25,8,8,9,8,NA
BT03170701U,Emnid,2017-07-01,BT,39,24,8,8,9,7,NA
BT02170705F,Forsa,2017-07-05,BT,39,23,8,8,9,7,NA
BE02170706C,Forsa,2017-07-06,BE,22,21,14,9,17,8,NA
BT01170706Y,Infratest dimap,2017-07-06,BT,39,23,8,9,9,9,NA
BT03170708V,Emnid,2017-07-08,BT,38,25,8,8,9,7,NA
BT02170711G,Forsa,2017-07-11,BT,39,22,8,8,9,8,NA
BT13170712D,YouGov,2017-07-12,BT,38,24,8,9,9,8,NA
BT03170715W,Emnid,2017-07-15,BT,38,25,8,7,9,8,NA
RP11170719B,GESS Phone & Field,2017-07-19,RP,37,33,7,6,3,8,NA
BT02170719H,Forsa,2017-07-19,BT,40,22,8,8,9,7,NA
BT03170722X,Emnid,2017-07-22,BT,38,25,8,8,9,8,NA
MV05170723V,INSA,2017-07-23,MV,22,31.5,4.5,3.5,13.5,20.5,NA
